userName,content,score,at,sentimen
Pengguna Google,capcut kikir bet jir,4,2025-11-27 04:38:50,Positif
Pengguna Google,bagus sekali,5,2025-11-16 13:18:08,Positif
Pengguna Google,makasihh..saya telah mendapatkan banyak uang dari event dan dikirimnya cepat..,5,2025-11-16 18:21:34,Positif
Pengguna Google,Keren 👍🏻👍🏻,5,2025-11-15 14:25:50,Positif
Pengguna Google,woi kenapa ekspor ada tulisan gratis tapi harus bayar aneh 😹😹👎👎,1,2025-11-30 05:17:56,Negatif
Pengguna Google,sangat bagus,5,2025-11-24 10:59:15,Positif
Pengguna Google,aplikasi bagus🙏🏻,5,2025-11-28 07:58:48,Positif
Pengguna Google,👆= bagus bettttttttttttttttttt,5,2025-11-16 02:17:04,Positif
Pengguna Google,bagus sih bagus tapi iklannya yang bikin ngeselin,5,2025-11-29 10:32:53,Positif
Pengguna Google,capcut ini baik di gunakan untuk membuat sebuah video,5,2025-11-27 08:20:06,Positif
Kancil unyil,aplikasinya keren banget,5,2025-11-14 11:03:39,Positif
Pengguna Google,tidabisa login atau di buka untuk saat ini,5,2025-11-20 07:48:14,Positif
Pengguna Google,"bisa buat jj yg lagi viral, pokok nya keren bgtt",5,2025-11-24 07:05:35,Positif
Pengguna Google,yaa ini kan apk bisa buat templat kan yauda udah,5,2025-11-25 13:49:25,Positif
Pengguna Google,bagus,5,2025-11-16 11:06:02,Positif
Pengguna Google,bagusss bangetttt🤍🤍,5,2025-11-28 02:33:32,Positif
Pengguna Google,kabisa di buka aplikasi nya,4,2025-11-25 07:35:55,Positif
Pengguna Google,saya tidak berlangganan tapi terkena potongan 83.250,1,2025-11-30 04:06:34,Negatif
Pengguna Google,aplikasi nya sngat bagus,5,2025-11-25 03:13:50,Positif
Pengguna Google,"capcut , tidak sebagus dulu , dulu mau mengekspor , tidak harus membayar , kalau sekarang harus bayar",2,2025-11-26 03:43:05,Negatif
Pengguna Google,capcut ini saat kita lagi galau ada jj nya jdi kita suka dan bahagia,5,2025-11-21 07:07:43,Positif
Pengguna Google,jangan banyak iklan,5,2025-11-17 09:43:00,Positif
Pengguna Google,sangat bagus,5,2025-11-21 15:27:48,Positif
Pengguna Google,"aplikasi ini bagus banget buat anak anak mau pun orang dewasa ,aplikasi ini gampang banget buat digunakannya dan lebih mudah ,seru juga,kualitasnya pun bagus",5,2025-11-17 12:49:40,Positif
Pengguna Google,pas masuk dia lama banget masuknya usahakan ya bug nya dihilangkan pro nya yng lebih terganggu pro nya orang saat mau pake aja harus kesusahan orang orang mau pake yang bgus malah pro jadi mohon hilangkan ya pro nya,1,2025-11-30 02:13:44,Negatif
Pengguna Google,"bagus aplikasi nya , bisa bikin video yang banyak",4,2025-11-19 07:42:59,Positif
Pengguna Google,Seruu dn menyenangkan,1,2025-11-29 14:12:07,Negatif
Pengguna Google,udah baguss,5,2025-11-24 10:53:19,Positif
Pengguna Google,saya senang atas kehadiran apk capcut yg bisa mengedit semua jenis efek vidio dan kelebihannya bisa menghadirkan tawaran penghasilan yg mearik dari versi pro,5,2025-11-22 08:00:36,Positif
Pengguna Google,"knp iklanya ngak bisa di hilangin,biar iklan udah di tonton sampe abis ngak bisa di kembalikan 😭😭",2,2025-11-27 12:59:55,Negatif
Tuti Astuti,saya akan memberikan bintang 5 jika capcut dapat di download di hp saya karena saya sudah menghapus banyak aplikasi untuk mendownload CapCut jadi saya akan sangat senang jika capcut bisa di download di hp saya dan saya akan memberikan bintang 5 ke aplikasi capcut ini,5,2025-11-15 10:28:31,Positif
Pengguna Google,"makasih buat aplikasi capcut ada event aku nyelesain sampe berjam"" walaupun mata capek terimakasih sekali karna event capcut aku bisa nyicil hutang"" ku aku sangat berterimakasih kepada capcut, aku hanya bisa bilang terima kasih semoga amal baik menyertaimu terimakasih capcut😇🥲☺️",5,2025-11-15 17:56:20,Positif
Pengguna Google,gampang di pake,5,2025-11-16 22:01:11,Positif
Pengguna Google,"saya aplikasi ini tidak ribet , dan hasilnya bagus",5,2025-11-25 05:14:40,Positif
Pengguna Google,mantab memudahkan dalam mengedit,5,2025-11-25 06:57:39,Positif
Pengguna Google,udah bagus tpi bnyak iklannya tolong kurangin iklannya pas mau ekspor,5,2025-11-29 23:31:12,Positif
Pengguna Google,bagus dan cantik dan bikin akun kls fyp semoga akun kls ku fyp lagi kyk fulu nya capcup berkat bantuan capcup aku bisa fyp,5,2025-11-30 05:57:06,Positif
Febby abiyan,bagus,5,2025-11-14 07:50:23,Positif
Pengguna Google,capcut sekarang sangat bagus 🤟🏻😼🤟🏻,5,2025-11-27 11:12:10,Positif
Pengguna Google,ini bagus banget,5,2025-11-24 12:58:00,Positif
Pengguna Google,kusarankan jangan menggunakan setandar,5,2025-11-29 11:23:32,Positif
Pengguna Google,bagus banget,5,2025-11-16 05:32:00,Positif
Pengguna Google,apalah Minjem template org harus bayar aplikasi ngemis,2,2025-11-30 04:59:28,Negatif
Pengguna Google,"kenapa harus banyak iklan sihhhhhh, enakan kaya dulu",1,2025-11-29 16:12:28,Negatif
Pengguna Google,sangat bagus,5,2025-11-27 14:46:02,Positif
Pengguna Google,𝐭𝐞𝐦𝐩𝐥𝐚𝐭𝐞 𝐧𝐲𝐚 𝐛𝐚𝐠𝐮𝐬 𝐛𝐚𝐠𝐮𝐬 👍😍 𝐩𝐨𝐤𝐨𝐤 𝐧𝐲𝐚 𝐬𝐮𝐩𝐞𝐫 𝐛𝐠𝐮𝐬𝐬,5,2025-11-22 09:25:01,Positif
Pengguna Google,aplikasinya bagus tapi ad satu kekurangan hp ku slalu keluar dari capcutnya padahal nga ada error ko ya mimin tolong di apdet,5,2025-11-22 12:05:53,Positif
Sila Novi,lumayan Bagus tapi sering lah sendiri,4,2025-11-14 13:48:22,Positif
Pengguna Google,tidak bisa di buka ada tulisan capcut berhenti,1,2025-11-27 17:56:06,Negatif
Rizki R,Bagus,5,2025-11-14 16:06:04,Positif
Pengguna Google,iklan mengganggu bangettt perasaan capcut duluu gaadaa iklan,1,2025-11-28 14:15:41,Negatif
Pengguna Google,saya sangat suka...dan puas..dgn aplikasi capcut,5,2025-11-30 03:52:28,Positif
Pengguna Google,ini sangat bagus,5,2025-11-23 01:34:54,Positif
Lia Sari,bagus² gambar nya tapi sayang nya terlalu banyak iklan nya 🥲,5,2025-11-14 09:10:37,Positif
Pengguna Google,seru,5,2025-11-16 12:09:43,Positif
Pengguna Google,capcut sekarang memang bagus tetapi banyak yang harus di bayar/pro dan di capcut sekarang kadang eror jadi tolong di perbaiki sebagus bagus mungkin,4,2025-11-19 22:34:25,Positif
Pengguna Google,"sumpah ini aplikasi ngedit paling mudah trus simple, udah deh dowload aja ga usah basa basi",5,2025-11-23 10:07:09,Positif
Pengguna Google,"serius ini capcut gak bisa edit gratis lagi? cuma ngisi suara doang gak bisa didownload dan dipaksa harus uji coba 7 hari setelah itu berlangganan?! bjir banget sih! rekomendasi aplikasi lain dong guys, mau tak uninstall aja nih aplikasi gak guna!!",1,2025-11-28 08:48:45,Negatif
Pengguna Google,"apk terkikir di abad in, perasaan dulu nggak kikir banget deh tolong dong fitur langganannya agar disesuaikan lagi untuk harganya, dan sekarang banyak yg jual CapCut mirror karena biaya langganannya termasuk murah dan konsumen pindah ke CapCut mirror terimakasih...🙏",5,2025-11-17 09:58:49,Positif
Pengguna Google,saya tidak bisa membukanya di hp saya dulu gak seperti ini,1,2025-11-28 07:33:15,Negatif
Pengguna Google,"goblog iklan judol ga bisa di skip lagi, vidio yg gw edit jadi ilang apalah yatim",1,2025-11-29 11:22:14,Negatif
Pengguna Google,Nice🙏,4,2025-11-15 14:05:17,Positif
Pengguna Google,Bagus,5,2025-11-28 04:15:18,Positif
Pengguna Google,susah di donlot cuma memo dikit juga,1,2025-11-27 10:40:36,Negatif
Pengguna Google,bagusss,5,2025-11-27 11:28:35,Positif
Pengguna Google,capcut adalah aplikasi yang terbaik 🫶😻,5,2025-11-23 10:43:03,Positif
Pengguna Google,tolonggg kurang in MB buat download,5,2025-11-22 14:44:01,Positif
Pengguna Google,jelek mi harus membayar orang gimana kalo orang miskin nah suka capcut juga tidak pakai capcut mi koding,1,2025-11-28 18:53:05,Negatif
engkong banten4 engkong kita,"Sebagai orang tua, mengedit foto jadi video di apl ini, mengaktifksn otak saya",5,2025-11-14 07:09:26,Positif
Pengguna Google,sangat bagus,5,2025-11-28 05:11:19,Positif
Pengguna Google,lumayan bagus 🫰,5,2025-11-19 15:06:49,Positif
Pengguna Google,"bagusan yg dulu, sekarang lag+banyak vitur pro.",4,2025-11-24 14:35:27,Positif
Pengguna Google,bagus cuma semua pro bjirrrr🗿🙏🏻,4,2025-11-30 05:41:43,Positif
Pengguna Google,bagus,5,2025-11-19 08:42:26,Positif
Pengguna Google,menurut ku capcut beneran bagus banget,5,2025-11-25 12:32:20,Positif
Rizqi Nafis Farras,"kok sekarang mau pake sesuatu berbayar ya?,gak kaya dulu lagi😞😓",4,2025-11-15 03:25:15,Positif
Pengguna Google,ga bisa di buka,4,2025-11-28 05:01:31,Positif
Pengguna Google,sangat bagus buat edit,5,2025-11-17 06:56:59,Positif
Pengguna Google,bagus banget bisa ngedit aku ngedit padti di capcut 🙏🏼👍🏼👍🏼👍🏼,5,2025-11-27 10:30:17,Positif
Pengguna Google,sangat membantu anak saya menghafal kan surat surat pendek,5,2025-11-29 12:17:41,Positif
Pengguna Google,good👍👍,5,2025-11-25 14:57:10,Positif
Pengguna Google,maaf saya tidak membeli capcut premium kok uang saya berkurang yang ada di apk dna saya,1,2025-11-26 03:42:27,Negatif
Pengguna Google,bisa edit keren,5,2025-11-23 10:35:28,Positif
Pengguna Google,setelah update versi terbaru apk ini tidak bisa dibuka dengan alasan capcut terus berhenti dan saya sangat kecewa dengan hal itu karena saya membutuhkan apk ini untuk mengedit,1,2025-11-28 02:32:58,Negatif
Pengguna Google,aplikasih nya bagus dan banyak editan menarik TAPI banyak template atau ngedit ada premium nya tapi sejauh ini baguss,4,2025-11-18 10:11:24,Positif
Pakar Pagar,good👍🏻,4,2025-11-14 04:14:20,Positif
Pengguna Google,baguss,5,2025-11-18 12:07:54,Positif
Pengguna Google,bagus bgt min,5,2025-11-24 08:32:53,Positif
Pengguna Google,sangat bermanfaat,4,2025-11-24 14:27:24,Positif
Aditya Pranata,jj nya keren2,5,2025-11-14 05:44:35,Positif
Pengguna Google,capcut ini sangat membantu kita untuk ngedit foto ataupun vidio yang mau kita edit danmebantu kerjaan kita yang lain seperti mau kerjai pr sekolah yang mau kita edit,5,2025-11-28 07:32:49,Positif
Pengguna Google,"aplikasi gajelas, dikit² iklan, maruk bgt developer nya",1,2025-11-28 06:08:14,Negatif
Pengguna Google,ok,5,2025-11-16 12:39:29,Positif
Pengguna Google,maksud kaga bisa di buka,4,2025-11-15 19:03:09,Positif
Pengguna Google,"Banyak template bagus,tapi haruskah saya membeli pro🥲,tolong beberapa fitur yang dulu bukan pro dijadiin bukan pro lagi ya pro pra pro pra pro malas cik cik MANTAP☺",4,2025-11-20 08:40:43,Positif
Pengguna Google,keren,5,2025-11-21 10:13:38,Positif
Pengguna Google,ekspor dari malem sampai bangun tidur berhenti di 88% kenapa lah capcut ni masi banyak aja bugnya,4,2025-11-26 03:16:11,Positif
Pengguna Google,karena Bagus,5,2025-11-29 13:15:55,Positif
Pengguna Google,sangat bagus,5,2025-11-23 03:03:28,Positif
Pengguna Google,dari 2016 ini aplikasi udh jadi favorit sy jadi apapun perubahannya sy tetap menggunakan nya 😊,5,2025-11-19 15:14:21,Positif
Pengguna Google,bagus dan cocok untuk mengedit foto & video🥰🥰,5,2025-11-16 04:06:59,Positif
Pengguna Google,"apk nya bagus, bisa buat edit foto, tapiiii akuuu sangattt sangattttt sangatttt⁹⁰ gakkk sukaaa kaloo tomboll ""ekspor"" nya ituuuu harusss iklannn duluu, akuuu gakkkk sukaaa bangettttttt cuyyyy,,, inii bukannn bercanndaa yaaa!!!!!!!!!! iniii seriusss!!!!!!!! tolongg donggg jangann adaa iklannya gituuu,, iklann nyaa soalnyaa duaaa lohhh, lamaaaa!!",5,2025-11-23 04:06:24,Positif
IIs Rahmawati,Karna bisa mengedit video Dan bisa di gunakan untuk semua orang,5,2025-11-14 04:35:55,Positif
Pengguna Google,bintang 10,5,2025-11-18 15:46:45,Positif
Pengguna Google,👍🏻👍🏻👍🏻👍🏻👍🏻,5,2025-11-18 11:19:30,Positif
Pengguna Google,bagus🤗🤗,4,2025-11-25 04:56:14,Positif
Pengguna Google,good,5,2025-11-29 00:22:38,Positif
Pengguna Google,bagus aplikasi nya,5,2025-11-25 03:51:24,Positif
Pengguna Google,bagus,5,2025-11-25 04:13:57,Positif
Pengguna Google,bagus ya teryata,5,2025-11-21 10:28:28,Positif
Pengguna Google,😘😘,5,2025-11-29 04:54:25,Positif
Pengguna Google,tolong berhentikan fitur standar,1,2025-11-29 14:29:39,Negatif
Pengguna Google,gk bisa di buka,5,2025-11-20 15:23:14,Positif
Pengguna Google,kita bingung mau edit apa tapi kali ada capcut jadi gampang,5,2025-11-24 04:52:31,Positif
Pengguna Google,"aplikasi merugikan tidak berlangganan saldo dana saya langsung dipotong tanpa persetujuan saya,,, jgn instal aplikasi ini..",1,2025-11-27 08:44:19,Negatif
Pengguna Google,enak dipakai dan fitur beragam,5,2025-11-16 21:39:38,Positif
Pengguna Google,"Aku rasa kalian harus memindahkan tombol ""Buat"" yang konyol itu. Karena di posisi tersebut, kami susah menghapus proyek yang paling pertama dibuat. Bagaimana cara kami menghapus proyek terlama itu bila terhalang tombol ""Buat"". 😂",4,2025-11-26 00:20:41,Positif
Pengguna Google,super,5,2025-11-16 15:08:57,Positif
Pengguna Google,bantu saya untuk mengedit sebagai konten kreator,5,2025-11-20 07:07:47,Positif
Pengguna Google,mantappp,5,2025-11-21 05:46:04,Positif
Pengguna Google,bagus,5,2025-11-16 12:33:06,Positif
Pengguna Google,bagus.,5,2025-11-28 23:59:27,Positif
Pengguna Google,tolong jangan banyakin iklan saya juga bingung ini sekarang serba premium ribet bahkan mau naikin curva kecepetan aja harus vip tolong lah balikin capcut kaya dulu aja jangn mentang' udah banyak yg make jadi kaya gini,2,2025-11-29 15:13:32,Negatif
Pengguna Google,"oke banget, cuma iklannya lama banget",5,2025-11-29 01:25:28,Positif
Pengguna Google,cihuy,5,2025-11-24 04:01:36,Positif
Pengguna Google,capcup ini sangat bagus kalau nggak donlot rugi,5,2025-11-17 03:58:02,Positif
Pengguna Google,sangat bagus buat creator untuk berimajinasi digital,5,2025-11-19 13:56:01,Positif
Pengguna Google,saat saya mau kecilkan kecepatan efek dari 3 ke 1 malah gak gerak-gerak,5,2025-11-24 13:42:24,Positif
Pengguna Google,"aplikasi nya ngelek,gabisa di buka,tolong di benerin biar bisa di pakai,pliss tolongg yaa....",2,2025-11-26 13:08:50,Negatif
Warimin Imin,capcut memang Ig yang menyenangkan karena kita kalau lagi gabut selalu mencetnya capcut kalau gk punya urusan capcut melulu yang ditonton gk pernah bosen²nya ya nonton capcut,5,2025-11-14 10:41:27,Positif
Pengguna Google,"edit gambar malah iklan Mulu yg ada,giliran selesai edit susah download",1,2025-11-27 14:14:40,Negatif
Pengguna Google,GB nya di kurangin lah bos,4,2025-11-25 16:32:06,Positif
Pengguna Google,Aplikasi sangat bagus,5,2025-11-16 00:31:38,Positif
Zaky Mubarok,"sangat bagus dan mudah di gunakan untuk ku yang masih pemula semoga semakin bagus dan sukses selalu,, 👍👍👍👍🙏🙏",5,2025-11-14 11:45:11,Positif
Pengguna Google,Aplikasi ini bagus banyak trend jj baru yang banyak timbul dan seru untuk di Tonton itu berkat adanya aplikasi capcut ini,5,2025-11-29 20:31:22,Positif
Pengguna Google,aplikasi ini sangat membantu kami yang tidak bisa gedi Poto atau pidio sangat bermanfaat bagi kami,4,2025-11-29 16:59:41,Positif
Pengguna Google,the best,5,2025-11-17 05:03:17,Positif
Pengguna Google,saya ingin memakai capcut,5,2025-11-19 07:55:48,Positif
Pengguna Google,jelek ih,2,2025-11-28 14:08:41,Negatif
Pengguna Google,sering sering eventnya,5,2025-11-16 16:13:48,Positif
Pengguna Google,bagus banget napnap suka apalgi template bg conan gacor abiezz🔥,5,2025-11-24 09:11:19,Positif
Pengguna Google,sekarang harus oerbayar GK bisa di ekspor oh JD malas make capcut,2,2025-11-28 03:41:27,Negatif
Pengguna Google,akhir² ini capcut bermasalah,1,2025-11-27 02:36:07,Negatif
Pengguna Google,baik,5,2025-11-16 23:36:11,Positif
Pengguna Google,aplikasi ini bagus banget iyaa,5,2025-11-22 11:12:27,Positif
Pengguna Google,saldo terhisap sendiri bikin malas👎🏻👎🏻,1,2025-11-28 14:59:35,Negatif
Pengguna Google,apliksi ny bgs,5,2025-11-22 23:19:52,Positif
Pengguna Google,bagusss banget,5,2025-11-16 08:49:38,Positif
Pengguna Google,makin lama makin KIKIR,4,2025-11-25 12:09:56,Positif
Pengguna Google,sangat seruu,5,2025-11-25 11:49:32,Positif
Pengguna Google,lama gk bisa di download,5,2025-11-27 10:26:28,Positif
Pengguna Google,capcut itu sangat penting untuk anak remejaaa aku suka capcut,5,2025-11-16 11:32:54,Positif
Pengguna Google,Capcut Pro dan Capcut biasa skrg tidak ada beda,1,2025-11-30 04:49:15,Negatif
Pengguna Google,bintang yg menjelaskan,5,2025-11-25 22:01:12,Positif
Pengguna Google,kenapa ngak bisa di download apk nya,2,2025-11-26 23:39:50,Negatif
Pengguna Google,iya sih bagus cuma aku gak bisa ngedit nya😑,5,2025-11-27 15:01:24,Positif
Pengguna Google,aplikasi nya lumayan bagus,4,2025-11-16 05:15:54,Positif
Pengguna Google,aplikasi ini sangat baik,5,2025-11-29 19:41:50,Positif
Pengguna Google,Mayan bagus lah tapi banyak iklannnnn😁😁,4,2025-11-16 02:48:56,Positif
Pengguna Google,bagus sekali,5,2025-11-21 00:45:04,Positif
Pengguna Google,aplikasi nya bagus dan menarik sy suka,5,2025-11-30 05:21:09,Positif
Pengguna Google,baguss sih tapi kebanyakan yang berbayar sekarang,5,2025-11-28 13:34:30,Positif
Pengguna Google,oke lah,4,2025-11-24 02:22:23,Positif
Pengguna Google,Bagus.100%,5,2025-11-27 16:20:29,Positif
Pengguna Google,bagusss,5,2025-11-24 09:41:03,Positif
Pengguna Google,karna semuanya bagus cocok untuk membuat tugas melalui fidio,5,2025-11-27 14:33:31,Positif
Pengguna Google,an bise di bukak,2,2025-11-30 02:30:12,Negatif
Pengguna Google,bisa di turunin mb nya gaa,5,2025-11-20 08:48:25,Positif
Pengguna Google,banyak iklan gk seperti dlu,1,2025-11-29 07:06:58,Negatif
Pengguna Google,bagus,5,2025-11-21 05:06:16,Positif
Pengguna Google,aplikasinya kreennnnn banget,5,2025-11-26 14:43:25,Positif
Latif Afnan,bagus,5,2025-11-15 05:52:53,Positif
Pengguna Google,"dari dulu sampai sekarang bagus banget, tapi kalau mau bikin proyek terus mau ekstrak itu sekarang kok jadi pro ya? padahal itu gunanya banyak banget loh, kalau mau rekaman nyanyi atau apa pake itu bisa banget, kalau masalah iklan sih gapapa",4,2025-11-25 13:57:18,Positif
Pengguna Google,di luar bmkg anjayy,5,2025-11-21 11:21:03,Positif
Pengguna Google,capcung kikir,1,2025-11-29 11:45:56,Negatif
Pengguna Google,"Wahhhh aplikasinya bagus banget, aku suka ..... Sekarang aku jadi pro banget soal edit vidio/foto .... Thank you CapCut ... 😘😘😘 Tapi aku benci banget sama yang bilang ""gamenya bagus banget, tapi boong pale"" terus ngasih bintang satu, woiiiii kalo mau ngomong bagus ngomong bagus aja, kalo Mau ngomong jelek, ya ngomong jelek aja, kesel tau mau nampol. Kasian tau developernya, udah bikin aplikasi susah susah, malah dibilang jelek, i hate is ..... !!!!!!!!! Okay. Well stop bilang ""tapi boong"". Ok",5,2025-11-18 12:54:27,Positif
Pengguna Google,sangat berguna,5,2025-11-15 12:56:26,Positif
Pengguna Google,mantap,5,2025-11-16 00:08:40,Positif
Nafisa Putri 2010,🥷👍,5,2025-11-14 14:59:16,Positif
Pengguna Google,bagus banget apa lagi jj nya 🥰💕❤,5,2025-11-24 13:43:29,Positif
Pengguna Google,pkoknya best lah.,5,2025-11-16 03:11:47,Positif
Pengguna Google,bagus banget,5,2025-11-25 04:11:50,Positif
Pengguna Google,saya suka banget sama aplikasi ini editannya itu bagus bagus,5,2025-11-29 11:30:56,Positif
afna Silva,Bagus cuma kurangin aja bug nya dikit,5,2025-11-15 02:02:57,Positif
Pengguna Google,kata saya bagus dan cocok saya kasih bintang lima5,5,2025-11-19 10:22:29,Positif
Pengguna Google,singkat padat jelas app ini bagus bgt,5,2025-11-24 23:56:28,Positif
Siti Alisya,sangat bagus dan sangat hd vidio nya☺,5,2025-11-15 12:11:10,Positif
Wa Mantan,ini sangat bagus dan jj nya juga lucu-lucu,5,2025-11-14 23:02:04,Positif
Pengguna Google,lama menginstal,5,2025-11-17 08:53:13,Positif
Pengguna Google,apasihhh dikit² pro gajels,5,2025-11-15 15:31:10,Positif
Pengguna Google,𝒂𝒑𝒍𝒊𝒌𝒂𝒔𝒊 𝒕𝒆𝒓𝒃𝒂𝒊𝒌𝒌,5,2025-11-27 12:20:01,Positif
Pengguna Google,keren,5,2025-11-16 06:57:17,Positif
Pengguna Google,saya mau lapor bahwa aplikasi nya eror/ngebug,5,2025-11-16 01:46:18,Positif
Pengguna Google,capcut menyediakan templet,5,2025-11-21 12:38:45,Positif
Pengguna Google,"gak ada pemberitahuan, pdhl gk pernah berlangganan , tiba"" ke potong sendiri danaa gw",1,2025-11-30 04:55:32,Negatif
Pengguna Google,apk ini bagus,5,2025-11-26 10:43:36,Positif
Pengguna Google,sangat bagus aku suka dengan capcut-,5,2025-11-16 23:52:34,Positif
Pengguna Google,baguss see kali,5,2025-11-29 10:22:15,Positif
Pengguna Google,bagus sangat² membatu aku buat edit fto dan vdio. cumaaa sekali kembali dari apk pastiiii berkali kali bakalan ada iklaann bikin males,4,2025-11-28 19:21:53,Positif
Siti Nuraini,sangat bagus dan menarik semua templatnya... memotivasi jika tidak pandai buat konten,5,2025-11-15 12:36:25,Positif
Pengguna Google,aplikasi ini memang bener bener sangat bagus,5,2025-11-27 16:32:08,Positif
Pengguna Google,saat bagus,5,2025-11-19 10:18:01,Positif
Pengguna Google,baagusssssß bggttt tempatttt nyaaa,5,2025-11-23 13:00:08,Positif
Pengguna Google,capcut sekarang gk bagus susah kalo mau edit foto yg digabung jadi ribet.. cuma ada kolase aja gk bagus sm sekali.. kalo yg dulu lebih simpel kayak filternya bagusan yg dulu juga sekarang kebanyakan iklannya,1,2025-11-28 13:11:05,Negatif
Ika Wildayanti,senang,5,2025-11-14 18:51:48,Positif
Pengguna Google,Bisa mengedit video atau foto dan,5,2025-11-18 13:43:39,Positif
Pengguna Google,"bagusssss bgt,buat konten jadi rameeeee,five star buat capcut",5,2025-11-16 03:11:49,Positif
Pengguna Google,bagus banget,5,2025-11-18 07:34:17,Positif
Pengguna Google,bagus,5,2025-11-29 21:38:40,Positif
Pengguna Google,halo pembuat capcut ini saya mau edit vidio kenapa memuat nya lama capcut? saya mau ngedit nih tolong perbaikin lah,1,2025-11-26 09:42:18,Negatif
Pengguna Google,enak simple kalo mau ngedit tinggal template,5,2025-11-17 13:48:08,Positif
Pengguna Google,"You're the most stingy developer, you use pro for everything, and editing isn't as easy as it used to be, your CapCut is the worst app.",1,2025-11-28 04:47:20,Negatif
Pengguna Google,bagus bangat aplikasinya,4,2025-11-27 23:59:41,Positif
Pengguna Google,suka dengan template nya,5,2025-11-22 07:51:45,Positif
Pengguna Google,bagus,5,2025-11-17 08:23:53,Positif
Pengguna Google,👍🙏,5,2025-11-19 17:17:56,Positif
Pengguna Google,bagus lebih enteng edit ny ga susah banget KLO di edit,5,2025-11-17 13:03:43,Positif
Pengguna Google,Sangat bagus buat edit Poto konten,5,2025-11-16 09:42:54,Positif
Pengguna Google,saya sangat terbantu dengan aplikasi ini,5,2025-11-20 15:02:30,Positif
Pengguna Google,baguss sihh,5,2025-11-29 05:26:28,Positif
